date,tmin,tmax
2021-09-02,58,81
2021-09-26,51,78
2021-09-29,60,84
2021-09-06,66,84
2021-09-01,68,88
2021-09-18,71,86
2021-09-23,54,78
2021-09-21,67,80
2021-09-24,51,76
2021-09-16,70,85
2021-09-10,57,80
2021-09-13,64,90
2021-09-30,60,82
2021-09-11,56,83
2021-09-15,72,89
2021-09-17,72,83
2021-09-25,49,78
2021-09-07,62,91
2021-09-08,72,93
2021-09-12,62,87
2021-09-22,63,80
2021-09-09,63,75
2021-09-19,66,90
2021-09-28,59,87
2021-09-27,51,84
2021-09-14,67,91
2021-09-05,64,89
2021-09-04,54,85
2021-09-03,54,83
2021-09-20,70,84
